title,authors,publication_date,description,cite_by
Treatment of landfill leachate by crossflow microfiltration and ozonation,"C Visvanathan, S Muttamara, S Babel, R Ben Aim",1994/2/1,-,21
Leaching potential of silver from nanosilver-treated textile products,"P Limpiteeprakan, S Babel",2016/3/1,-,19
A decision making matrix with life cycle perspective of materials for roofs in Sri Lanka,"UG Yasantha Abeysundra, Sandhya Babel, Shabbir Gheewala",2007/1/1,-,19
A study on membrane fouling due to algal deposition,"S Babel, S Takizawa",2000/5,-,19
Release of silver nanoparticles from fabrics during the course of sequential washing,"Pawena Limpiteeprakan, Sandhya Babel, Jenyuk Lohwacharin, Satoshi Takizawa",2016/11,-,18
Bio-electrochemical reactors using AMI-7001S and CMI-7000S membranes as separators for silver recovery and power generation,"NAD Ho, S Babel, F Kurisu",2017/11/1,-,17
"Biodegradation of organics in landfill leachate by immobilized white rot fungi, <i>Trametes versicolor</i> BCC 8725","Jenjira Saetang, Sandhya Babel",2012/11/1,-,16
A matrix for selecting sustainable floor coverings for buildings in Sri Lanka,"UG Yasantha Abeysundara, Sandhya Babel, Mongkut Piantanakulchai",2009/1/1,-,15
Smaller-sized micro-plastics (MPs) contamination in single-use PET-bottled water in Thailand,"Dinuka Kankanige, Sandhya Babel",2020/5/15,-,14
Bio-electrochemical system for recovery of silver coupled with power generation and wastewater treatment from silver (I) diammine complex,"NAD Ho, S Babel, K Sombatmankhong",2018/6/1,-,14
Biodiesel production from waste palm oil using palm empty fruit bunch-derived novel carbon acid catalyst,"NAD Ho, S Babel, K Sombatmankhong",2018/6/1,-,14
"Uptake, release, and absorption of nutrients into the marine environment by the green mussel (Perna viridis)","Chayarat Srisunont, Sandhya Babel",2015/8/15,-,13
A quest for sustainable materials for building elements in Sri Lanka: Foundations,"UG Yasantha Abeysundara, Sandhya Babel",2010/10,-,13
Fungi immobilization for landfill leachate treatment,"Jenjira Saetang, Sandhya Babel",2010/9,-,12
Factors influencing silver recovery and power generation in bio-electrochemical reactors,"Jenjira Saetang, Sandhya Babel",2010/9,-,12
"Phytoremediation potential of plants growing on the Pb-contaminated soil at the Song Tho Pb Mine, Thailand","Jiraporn Yongpisanphop, Sandhya Babel, Maleeya Kruatrachue, Prayad Pokethitiyook",2017/5/19,-,10
Removal of fluoride using granular activated carbon and domestic sewage sludge,"Manisha Poudyal, Sandhya Babel",2015/3,-,10
Effect of drying process on heavy metals fractionation of contaminated sludge for land application,"Dominica D Dacera, Sandhya Babel",2013/5/1,-,10
Preparation of solid acid catalysts from waste biomass and their application for microwave-assisted biodiesel production from waste palm oil,"Indika Thushari, Sandhya Babel",2018/8,-,9
"Microplastic contamination on the lower Chao Phraya: Abundance, characteristic and interaction with heavy metals","Indika Thushari, Sandhya Babel",2018/8,-,9
Photocatalytic degradation of methylene blue using visible light active N-doped ZnO,"Hanggara Sudrajat, Sandhya Babel",2015,-,8
Influences of N fertilizers on the vegetable amaranth production,Somchai Chakhatrakan,2003,-,8
Electron Population and Water Splitting Activity Controlled by Strontium Cations Doped in KTaO<sub>3</sub> Photocatalysts,"Hanggara Sudrajat, Dikshya Dhakal, Mitsunori Kitta, Takuro Sasaki, Akiyo Ozawa, Sandhya Babel, Tomoko Yoshida, Nobuyuki Ichikuni, Hiroshi Onishi",2019/7/5,-,7
Hydroponic screening of fast-growing tree species for lead phytoremediation potential,"Jiraporn Yongpisanphop, Sandhya Babel, Maleeya Kruatrachue, Prayad Pokethitiyook",2017/10,-,7
Estimating the carrying capacity of green mussel cultivation by using net nutrient removal model,"Jiraporn Yongpisanphop, Sandhya Babel, Maleeya Kruatrachue, Prayad Pokethitiyook",2017/10,-,7
Effect of glucose on enzyme activity and color removal by <i>Trametes versicolor</i> for high strength landfill leachate,"Jenjira Saetang, Sandhya Babel",2010/12,-,7
Heavy metals removal from contaminated sewage sludge by naturally fermented raw liquid from pineapple wastes,"Dominica Del Mundo Dacera, Sandhya Babel",2007/10,-,7
Chemical state and coordination structure of La cations doped in KTaO3 photocatalysts,"Hanggara Sudrajat, Indika Thushari, Sandhya Babel",2019/4/1,-,6
"Benefits of improved municipal solid waste management on greenhouse gas reduction in Luangprabang, Laos","Xaysackda Vilaysouk, Sandhya Babel",2017/7/18,-,6
Local structure of iron oxide sensitizing Nb2O5 photocatalysts,"Hanggara Sudrajat, Sandhya Babel, Jakkapon Phanthuwongpakdee, Truong Khang Nguyen",2019/10/25,-,5
Apiaceae Family Plants as Low-Cost Adsorbents for the Removal of Lead Ion from Water Environment,"W Boontham, S Babel",2017/6/1,-,5
"Production of biodiesel from waste cooking oil using transesterification, with the KOH on carbon support from waste material and egg shell, as the catalyst","Sandhya Babel, Sirintra Arayawate, Ekarat Faedsura, Hanggara Sudrajat",2016/12/9,-,5
Enhancement of Cr (VI) ion removal using nanochitosan coated on bituminous activated carbon,"Wanida Chooaksorn, Rachnarin Nitisoravut, Chongrak Polprasert, Sandhya Babel, Kritapas Laohhasurayotin, Wiyong Kangwansupamonkon",2016/11,-,5
Electricity generation from anaerobic sludge and cassava wastewater subjected to pretreatment methods using microbial fuel cell,"Emmanuel P Leano, Sandhya Babel",2011/6/27,-,5
Hexane reduction in a Thai rice bran oil factory: a cleaner technology approach,"Dominica Dacera, Peesamai Jenvanitpanjakul, Suwanchai Nitisoravut, Sandhya Babel",2003,-,5
Isolation and characterization of Pb-resistant plant growth promoting endophytic bacteria and their role in Pb accumulation by fast-growing trees,"Jiraporn Yongpisanphop, Sandhya Babel, Futoshi Kurisu, Maleeya Kruatrachue, Prayad Pokethitiyook",2020/12/5,-,4
"Mn-doped TiO2 photocatalysts: Role, chemical identity, and local structure of dopant","Hanggara Sudrajat, Sandhya Babel, Anh Tuan Ta, Truong Khang Nguyen",2020/9/1,-,4
Current situation and challenges of waste management in Thailand,"Sandhya Babel, Anh Tuan Ta, Teshan Udayanga Habarakada Liyanage",2020,-,4
Loading of metallic silver onto ZnO for enhancement of electron population and photocatalytic activity,"Hanggara Sudrajat, Sandhya Babel",2019/4/1,-,4
Ultrahigh photoactivity of ZnO nanoparticles for decomposition of high-concentration microcystin-LR in water environment,"H Sudrajat, S Babel",2019/2,-,4
Cadmium Removal Potential from Contaminated Soil by <i>Tagetes erecta</i> L. and <i>Panicum maximum</i>: Influence of Soil pH,"Nonglak Rungruang, Sandhya Babel",2016/2/17,-,4
Laboratory Scale Studies for Treatment of Solid Waste Landfill Leachate Using Cross Flow Microfiltration and Ozone,Sandhya Babel,1993/4,-,4
Electrochemical reduction of different Ag (I)-containing solutions in bioelectrochemical systems for recovery of silver and simultaneous power generation,"Ngo Anh Dao Ho, Sandhya Babel",2019,-,3
Activity of carbon-based solid acid catalyst derived from palm empty fruit bunch for esterification of palmitic Acid,"Indika Thushari, Sandhya Babel",2019,-,3
"Role of reactive species in the photocatalytic degradation of amaranth by highly active N-doped <svg aria-label=""\mathbf{WO}_{\mathbf{3}}"" class=""gs_fsvg"" height=""15px"" style=""vertical-align:-4px;"" width=""37px""><g transform=""matrix(0.01700, 0.00000, 0.00000, 0.01700, 0.00000, 11.84900)""><g><g><path d=""M 629 20  L 199 1300  H 43  V 1405  H 672  V 1300  H 502  L 795 434  L 1001 1053  L 918 1300  H 762  V 1405  H 1391  V 1300  H 1223  L 1513 434  L 1798 1284  Q 1793 1289 1747 1294  Q 1683 1300 1616 1300  V 1405  H 2071  V 1300  Q 2021 1300 1967 1297  T 1909 1282  L 1485 20  Q 1472 -16 1434 -16  H 1401  Q 1360 -16 1350 20  L 1057 889  L 764 20  Q 754 -16 713 -16  H 680  Q 642 -16 629 20  Z "" transform=""scale(0.48828, -0.48828)""></path><path d=""M 768 -23  Q 614 -23 493 31  T 286 184  T 157 415  T 115 694  Q 115 897 190 1065  T 412 1330  T 768 1427  Q 976 1427 1122 1330  T 1344 1065  T 1419 694  Q 1419 491 1343 328  T 1119 71  T 768 -23  Z M 512 246  Q 552 170 620 121  T 768 72  Q 821 72 870 95  T 959 158  T 1022 246  Q 1071 346 1084 455  T 1098 731  Q 1098 884 1084 984  T 1022 1176  Q 996 1224 956 1260  T 867 1316  T 768 1337  Q 688 1337 620 1292  T 512 1176  Q 478 1116 461 1040  T 440 898  T 436 731  Q 436 620 440 547  T 461 393  T 512 246  Z "" transform=""matrix(0.48828, 0.00000, 0.00000, -0.48828, 1019.43896, 0.00000)""></path></g><g transform=""translate(1769.43896, 150.00000)""><g><g><path d=""M 283 135  Q 362 74 473 74  Q 566 74 590 160  T 614 371  V 377  Q 614 501 589 586  T 469 672  H 369  Q 347 677 342 698  V 729  Q 348 749 369 754  L 451 760  Q 532 760 562 856  T 592 1059  Q 592 1148 570 1200  T 473 1253  Q 374 1253 307 1186  Q 365 1178 399 1137  T 434 1040  Q 434 979 392 937  T 289 895  Q 226 895 183 936  T 141 1040  Q 141 1169 240 1255  T 473 1341  Q 546 1341 617 1326  T 748 1278  T 844 1190  T 881 1057  Q 881 979 846 911  T 752 794  T 618 715  Q 708 696 780 650  T 894 534  T 936 373  Q 936 245 872 155  T 703 21  T 473 -23  Q 404 -23 336 -3  T 211 58  T 119 160  T 86 293  Q 86 360 132 406  T 248 453  Q 292 453 329 432  T 387 374  T 408 293  Q 408 234 374 192  T 283 135  Z "" transform=""scale(0.34180, -0.34180)""></path></g></g></g></g></g></svg>                                          WO            3","Hanggara Sudrajat, Sandhya Babel",2017/12,-,3
"Quality of bottled drinking water: case study in Vientiane, Laos and Thailand","Syvang Xayyavong, Sandhya Babel",2010/6/18,-,3
A matrix in life cycle perspective for selecting sustainable materials for buildings in Sri Lanka,"Sandhya Babel, UG Abeysundara, Shabbir Gheewala",2009,-,3
Rapid assessment techniques for chemicals in raw water sources,"Shabbir Hussaini Gheewala, Mukand Singh Babel, Ashim Das Gupta, Sandhya Babel",2003/11,-,3
"Microplastics pollution with heavy metals in the aquaculture zone of the Chao Phraya River Estuary, Thailand","Anh Tuan Ta, Sandhya Babel",2020/12/1,-,2
Anthocyanin based agricultural wastes as bio-adsorbents for scavenging radioactive iodide from aqueous environment,"Jakkapon Phanthuwongpakdee, Sandhya Babel, Kritapas Laohhasurayotin, Suchinda Sattayaporn, Tatsuo Kaneko",2020/10/1,-,2
"Thermal, ultrasonic and electrochemical pretreatment methods to enhance the solubilization of organic substance and methane generation in food waste","TU Habarakada Liyanage, S Babel",2020/9,-,2
Biodiesel production from waste palm cooking oil using solid acid catalyst derived from coconut meal residue,"Indika Thushari, Sandhya Babel",2020/9,-,2
Utilization of green waste from vegetable market for biomethane production: influences of feedstock to inoculum ratios and alkalinity,"AT Ta, S Babel",2019/11,-,2
Spontaneous reduction of low-potential silver (I) dithiosulfate complex in bioelectrochemical systems for recovery of silver and simultaneous electricity production,"NAD Ho, S Babel",2019/4/1,-,2
Microplastic Pollution in Surface Water of the Chao Phraya River in Ang Thong Area,"Anh Ta, Sandhya Babel",2019,-,2
Microwave-assisted transesterification of waste cooking oil for biodiesel production,"S Babel, S Arayawate, E Faedsura, H Sudrajat",2018,-,2
Rapid and Decentralized Human Waste Treatment by Microwave Radiation,"Tu Anh Nguyen, Sandhya Babel, Siwarutt Boonyarattanakalin, Thammarat Koottatep",2017/7,-,2
Simulation of “Net” Nutrients Removal by Green Mussel (Perna viridis) in Estuarine and Coastal Areas,"Chayarat Tantanasarit, Sandhya Babel",2014/1/13,-,2
Alternative Energy Generation From Waste Sludge By Anaerobic Co-Digestion,"Sandhya Babel, Preeda Parkpian, Jenjira Sae-Tang",2005,-,2
Effects of organic loading on bioelectricity and micro-algal biomass production in microbial fuel cells using synthetic wastewater,"Chamath DY Yahampath Arachchige Don, Sandhya Babel",2021/2/1,-,1
SnO2/ZnO heterostructured nanorods: Structural properties and mechanistic insights into the enhanced photocatalytic activity,"Hanggara Sudrajat, Sri Hartuti, Sandhya Babel, Truong Khang Nguyen, Hien Duy Tong",2021/2,-,1
Comparing the performance of microbial fuel cell with mechanical aeration and photosynthetic aeration in the cathode chamber,"Chamath DY Yahampath Arachchige Don, Sandhya Babel",2020/10/2,-,1
"Microplastics Contamination in a High Population Density Area of the Chao Phraya River, Bangkok.","Anh Tuan Ta, Sandhya Babel, Andreas Haarstrick",2020/8/1,-,1
Bioelectrochemical technology for recovery of silver from contaminated aqueous solution: a review,"Ngo Anh Dao Ho, Sandhya Babel",2020/7/14,-,1
Identification of Micro-plastics (MPs) in Conventional Tap Water Sourced from Thailand.,"Dinuka Kankanige, Sandhya Babe",2020/1/1,-,1
Natural Adsorbents for Removal of Different Iodine Species from Aqueous Environment: A Review,"Jakkapon Phanthuwongpakdee, Sandhya Babel, Tatsuo Kaneko",2020,-,1
Integrated solid waste management system leading to zero waste for sustainable resource utilization in rapid urbanized areas in developing countries,"Alice Sharp, Sandhya Babel, Nguyen Thi Phuong Loan, Mr Tshering Gyeltshen",2018,-,1
Removal of lead from aqueous solution using low-cost adsorbents from Apiaceae family.,"Weetara Boontham, Sandhya Babel",2018,-,1
Silver Recovery and Power Generation from Ammonia Chelated Silver Solution in a Bio-Electrochemical Reactor,"NAD Ho, S Babel",2017/6/1,-,1
Investigations on the effectiveness of the Saba banana peel for the treatment of fluoride contaminated water.,"Manisha Poudyal, Sandhya Babel",2017,-,1
Effects of Thermophilic Heat Pretreatment of Mixed Inoculum on Biohydrogen Production from Synthetic and Sugarcane Mill Wastewaters,"Sandhya Babel, Emmanuel Pacheco Leaño",2015,-,1
Selecting sustainable materials for ceilings in Sri Lanka,"UG Yasantha Abeysundara, Sandhya Babel",2009/5,-,1
A LIFE CYCLE PERSPECTIVE ON BUILDING FLOOR COVERINGS IN SRI LANKA,"UG Yasantha Abeysundra, Sandhya Babel, Alice Sharp",2006,-,1
Cross-flow ultrafiltration for surface water treatment in North Thailand,"S Takizawa, S Babel, N Pradhan, T Prathomrungsiyunkul, K Suwannarit, S Yamazaki",2000/5,-,1
Microplastic contamination in a conventional wastewater treatment plant in Thailand,"Katekanya Tadsuwan, Sandhya Babel",-,-,1
Flame retardant transparent films of thermostable biopolyimide metal hybrids,"Jakkapon Phanthuwongpakdee, Toyohiro Harimoto, Sandhya Babel, Sumant Dwivedi, Kenji Takada, Tatsuo Kaneko",2021/4/5,-,-
Screening of New bio-based materials for radioactive iodide adsorption from water environment,"Jakkapon Phanthuwongpakdee, Sandhya Babel, Tatsuo Kaneko",2021/4/1,-,-
Contamination by≥ 6.5 μm-sized microplastics and their removability in a conventional water treatment plant (WTP) in Thailand,"Dinuka Kankanige, Sandhya Babel",2021/4/1,-,-
Circulation of anodic effluent to the cathode chamber for subsequent treatment of wastewater in photosynthetic microbial fuel cell with generation of bioelectricity and algal …,"Chamath DY Yahampath Arachchige Don, Sandhya Babel",2021/3/31,-,-
"Screening of Pb-Tolerant Plant Growth-Promoting Rhizobacteria from Roots of Pb-Excluder, Grown on Pb Contaminated Soil","Jiraporn Yongpisanphop, Sandhya Babel",2021/3/16,-,-
ZnO nanoparticles for photodegradation of humic acid in water,"Sandhya Babel, Putri A Sekartaji, Hanggara Sudrajat",2021/2/17,-,-
Roles of inoculum and substrate in bioelectrochemical system used for removal and recovery of metals from wastewater,"Ngo Anh Dao Ho, Sandhya Babel",2021/1/1,-,-
Functional components of a bioelectrochemical system for removal and recovery of metals: A review,"Ngo Anh Dao Ho, Sandhya Babel",2021/1/1,-,-
Pb phytostabilization by fast-growing trees inoculated with Pb-resistant plant growth-promoting endophytic bacterium,"Jiraporn Yongpisanphop, S Babel, M Kruatrachue, P Pokethitiyook",2020/12/1,-,-
Long-Term Performance of a Pilot Scale Combined Chemical Precipitation-Ultrafiltration Technique for Waste Brine Regeneration at Chevron Steam Flooding Plant.,"I Gede Wenten, Ahmad Nurul Hakim, Putu Teta Prihartini Aryanti, Nengsi Rova",2020/8/1,-,-
"Characterization of Pb-tolerant plant-growth-promoting endophytic bacteria for biosorption potential, isolated from roots of Pb excluders grown in different habitats","Jiraporn Yongpisanphop, Sandhya Babel",2020/6/2,-,-
Anion-Scavenging Biopolyamides from Quaternized 4-Aminocinnamic Acid Photodimers,"Jakkapon Phanthuwongpakdee, Sandhya Babel, Sumant Dwivedi, Kenji Takada, Thawinda Hirayama, Tatsuo Kaneko",2020/2/12,-,-
AN EVALUATION OF DOWNSTREAM POLICIES TO REDUCE MARINE PLASTIC LITTER IN THAILAND,"S Babel, A Haarstrick, MS Babel, A Sharp",2019/10/24,-,-
DETECTION AND IDENTIFICATION OF MICROPLASTIC MATERIALS WASTE IN WATER SYSTEMS,"S Babel, A Haarstrick, MS Babel, A Sharp",2019/10/24,-,-
INFLUENCE OF TYPICAL IONS AND NATURAL ORGANIC MATTER ON THE AGGREGATION OF MICROPLASTIC PARTICLES IN AQUEOUS PHASE,"S Babel, A Haarstrick, MS Babel, A Sharp",2019/10/24,-,-
POTENTIAL OF PLASTIC-DEGRADING MICROBES IN PREVENTING PLASTIC POLLUTION AND ITS CIRCULAR SUSTAINABILITY PROGRAM,"S Babel, A Haarstrick, MS Babel, A Sharp",2019/10/24,-,-
MICROPLASTICS REMOVAL FROM MUNICIPAL WASTEWATER BY AN ELECTROCOAGULATION SYSTEM,"S Babel, A Haarstrick, MS Babel, A Sharp",2019/10/24,-,-
RECENT ADVANCES IN MICROPLASTIC RESEARCH IN JAPAN,"S Babel, A Haarstrick, MS Babel, A Sharp",2019/10/24,-,-
"MICROPLASTICS CHALLENGES AND INTERNATIONAL GOVERNANCE MECHANISMS Muhammad Mumtaz1, Jose A. Puppim de Oliveira 2, Ishfaq Ahmed 3","S Babel, A Haarstrick, MS Babel, A Sharp",2019/10/24,-,-
CURRENT STATUS OF MICROPLASTICS CONTAMINATION IN MARINE AND FRESHWATER ENVIRONMENTS,"S Babel, A Haarstrick, MS Babel, A Sharp",2019/10/24,-,-
SAMPLING STRATEGY TO CONDUCT STUDIES ON SPATIAL AND TEMPORAL CONTAMINATION OF MICROPLASTICS IN ESTUARINE ECOSYSTEMS,"S Babel, A Haarstrick, MS Babel, A Sharp",2019/10/24,-,-
Design and syntheses of bio-based exotic amino acid derived cationic polyamide for the application of water treatment,"Jakkapon Phanthuwongpakdee, Sumant Dwivedi, Kenji Takada, Sandhya Babel, Tatsuo Kaneko",2019/8/25,-,-
Hanggara Sudrajat,"Sandhya Babel, Sri Hartuti, Hiroshi Onishi, Nobuyuki Ichikuni",2019/2,-,-
Bio-Based Polyimide for Metal Ions Removal from Aqueous Solution,"Janice Wang, Jeerawat Chuachan, Kritsana Patanaprasitchai, Jakkapon Phanthuwongpakdee, Tatsuo Kaneko, Kenji Takada, Sandhya Babel",2019,-,-
Locally available material as adsorbent to treat arsenic contaminated water,"Dikshya Dhakal, Sandhya Babel",2018/1/1,-,-
Recovery of Silver from Mixed Metals Solution Using a Bio-Electrochemical System,"Aukrawut Seenuan, Thatapol Charoensukpatana, Natcha Chamchoy, Ngo Anh Dao Ho, Sandhya Babel",2017/12/1,-,-
Biodiesel production from waste palm oil using palm empty fruit bunch derived novel carbon acid catalyst 2 PGI Thushari 3,S Babel,2017,-,-
"Structural Interpretation of Missa Keswal Area, Potwar, Pakistan","Irfan Mahmood, Shahid Nadeem Qureshi, Shahina Tariq, Gul Muhammad, Munir Ahmed Khan, Muhammad Zafar, Wasim Arshad, Ali Mustafa",2016/11/30,-,-
Manganese-and Iron-Doped Zinc Oxide for Photocatalytic Degradation of Recalcitrant Dyes,"Sandhya Babel, Hanggara Sudrajat, Ajay Aby Abraham",2016/11/30,-,-
"Lựa chọn công nghệ trong Quản lý chất thải rắn bền vững Nghiên cứu điển hình tại Thành phố Hồ Chí Minh, Việt Nam","Nguyễn Thị Phương Loan, Sandhya Babel, Alice Sharp, Đại học Thammasat, Thai Lan",2016,-,-
Humic Acid Degradation by ZnO Photocatalyst,"Putri A Sekartaji, Sandhya Babel",2016,-,-
"CO-BENEFITS OF IMPROVED MUNICIPAL SOLID WASTE MANAGEMENT IN LUANGPRABANG, LAO PDR","Xaysackda Vilaysouk, Sandhya Babel",2015/5/19,-,-
Waste Management &amp; Resource Utilisation,"P Limpiteeprakan, S Babel",2013,-,-
"'ADVANCED TREATMENT TECHNOLOGIES FOR WASTE RECYCLING': SELECTED PAPERS FROM THE'INTERNATIONAL CONFERENCE ON SOLID WASTE―MOVING TOWARDS SUSTAINABLE RESOURCE MANAGEMENT', 2―6 …","Jenjira SAETANG, Sandhya BABEL",2012,-,-
Utilisation of Andisols as possible low-cost adsorbent to remove Cr (VI) from aqueous solution,"Sandhya Babel, Einstine M Opiso",2010/1/1,-,-
Chromium (VI) which exists in many industrial wastewater is considered highly toxic. The aim of the present investigation was to study the reduction of chromium (VI) to …,"BA Shah, AV Shah, RR Singh",2009,-,-
Community Participation in Pollution Abatement and Water Quality Conservation through Bio Monitoring,"Sandhya Babel, Alice Sharp, Amornpong Thongbhakdi, Zebunnessa Shoma",2008/10/23,-,-
Assessment of heavy metal removal efficiencies by naturally fermented and a. niger fermented pineapple wastes from contaminated sewage sludge,"Dominica del Mundo Dacera, Sandhya Babel",2007/12/12,-,-
A decision making matrix with life cycle perspective of materials for roofs in Sri Lanka,"Sandhya Babel, Shabbir Hussaini Gheewala, UG Abeysundara",2007,-,-
Heavy metal removal from contaminated sludge for land application: a review,"Dominica del Mundo Dacera, Sandhya Babel",2006,-,-
A research study on Cr (VI) removal from electroplating wastewater using chemically modified coconut shell-based activated carbon and treated zeolite,"Tonni Agustiono Kurniawan, Sandhya Babel",2003/1/1,-,-
